cnn6cequal
Initial validation accuracy: 9.09%
Round 265 validation accuracy: 60.61
Round 270 validation accuracy: 59.47
Round 275 validation accuracy: 61.74
Round 280 validation accuracy: 60.23
Round 285 validation accuracy: 62.88
Round 290 validation accuracy: 62.69
Round 295 validation accuracy: 63.83
Round 300 validation accuracy: 63.45



Initial validation accuracy: 9.09%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 9.09
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 9.09
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 9.09
Round 50 validation accuracy: 9.09
Round 55 validation accuracy: 9.09
Round 60 validation accuracy: 9.09
Round 65 validation accuracy: 9.09
Round 70 validation accuracy: 9.09
Round 75 validation accuracy: 9.09
Round 80 validation accuracy: 9.09
Round 85 validation accuracy: 9.09
Round 90 validation accuracy: 9.09
Round 95 validation accuracy: 9.09
Round 100 validation accuracy: 9.09
Round 105 validation accuracy: 9.09
Round 110 validation accuracy: 9.09
Round 115 validation accuracy: 9.09
Round 120 validation accuracy: 9.09

Initial validation accuracy: 8.33%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 9.09
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 9.09
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 9.09
Round 50 validation accuracy: 9.09
Round 55 validation accuracy: 9.09
Round 60 validation accuracy: 9.09
Round 65 validation accuracy: 9.09
Round 70 validation accuracy: 9.09
Round 75 validation accuracy: 9.09
Round 80 validation accuracy: 9.09
Round 85 validation accuracy: 11.93
Round 90 validation accuracy: 8.71
Round 95 validation accuracy: 9.09
Round 100 validation accuracy: 10.80
Round 105 validation accuracy: 12.31
Round 110 validation accuracy: 9.09
Round 115 validation accuracy: 9.09
Round 120 validation accuracy: 9.09
Round 125 validation accuracy: 9.09
Round 130 validation accuracy: 9.09
Round 135 validation accuracy: 9.09
Round 140 validation accuracy: 14.39
Round 145 validation accuracy: 12.50
Round 150 validation accuracy: 14.39
Round 155 validation accuracy: 11.36
Round 160 validation accuracy: 18.56
Round 165 validation accuracy: 19.32
Round 170 validation accuracy: 23.30
Round 175 validation accuracy: 14.77
Round 180 validation accuracy: 30.68
Round 185 validation accuracy: 25.76
Round 190 validation accuracy: 19.51
Round 195 validation accuracy: 30.11
Round 200 validation accuracy: 35.61
Round 205 validation accuracy: 32.58
Round 210 validation accuracy: 41.67
Round 215 validation accuracy: 36.17
Round 220 validation accuracy: 29.73
Round 225 validation accuracy: 38.83
Round 230 validation accuracy: 38.83
Round 235 validation accuracy: 35.61
Round 240 validation accuracy: 39.58
